,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
9296,81,activities,United Kingdom,2019.0,1683.5,984.7,795.9,314.1,0.05,0.05,0.06,0.03
9297,82,"Office administrative, office support and ",North East,2012.0,73.4,65.8,36.2,21.2,0.09,0.12,0.13,0.08
9298,82,other business support activities ,North East,2013.0,66.2,52.9,27.9,22.5,0.12,0.13,0.17,0.09
9299,82,other business support activities ,North East,2014.0,49.4,49.1,12.4,44.8,0.07,0.09,0.06,0.14
9300,82,other business support activities ,North East,2015.0,59.6,55.5,16.6,42.9,0.04,0.07,0.02,0.12
9301,82,other business support activities ,North East,2016.0,162.4,114.9,63.3,58.4,0.16,0.16,0.19,0.13
9302,82,other business support activities ,North East,2017.0,344.6,351.8,92.4,355,0.28,0.4,0.24,0.41
9303,82,other business support activities ,North East,2018.0,142.5,99.5,62.5,34.1,0.13,0.17,0.11,0.09
9304,82,other business support activities ,North East,2019.0,533,339.7,264.6,69.7,0.3,0.41,0.28,0.19
9305,82,other business support activities ,North West,2012.0,255.6,167.5,170.9,78.5,0.08,0.09,0.13,0.08
9306,82,other business support activities ,North West,2013.0,383.5,229.3,255.8,106.7,0.08,0.09,0.12,0.1
9307,82,other business support activities ,North West,2014.0,333.8,261.1,161.1,53.5,0.07,0.09,0.08,0.06
9308,82,other business support activities ,North West,2015.0,344.2,225.3,200.1,89,0.09,0.11,0.1,0.08
9309,82,other business support activities ,North West,2016.0,483,248.2,273.4,180.5,0.08,0.1,0.09,0.12
9310,82,other business support activities ,North West,2017.0,479.7,304.7,282.6,159.2,0.07,0.1,0.08,0.1
9311,82,other business support activities ,North West,2018.0,440.9,240.7,259,150,0.06,0.09,0.05,0.1
9312,82,other business support activities ,North West,2019.0,580.6,453.2,260.1,122,0.08,0.14,0.06,0.08
9313,82,other business support activities ,Yorkshire and The Humber,2012.0,260.7,116.6,188.5,35,0.09,0.09,0.11,0.05
9314,82,other business support activities ,Yorkshire and The Humber,2013.0,587.9,398.1,299.2,216,0.15,0.27,0.12,0.25
9315,82,other business support activities ,Yorkshire and The Humber,2014.0,290.9,259.5,127.9,43.3,0.08,0.16,0.06,0.05
9316,82,other business support activities ,Yorkshire and The Humber,2015.0,279.4,202,126.3,88.8,0.08,0.12,0.06,0.09
9317,82,other business support activities ,Yorkshire and The Humber,2016.0,323,151.8,234.9,68.3,0.07,0.08,0.09,0.07
9318,82,other business support activities ,Yorkshire and The Humber,2017.0,248.8,127.9,156.4,61.2,0.06,0.08,0.05,0.07
9319,82,other business support activities ,Yorkshire and The Humber,2018.0,531.7,179.3,377.7,62.1,0.12,0.1,0.14,0.07
9320,82,other business support activities ,Yorkshire and The Humber,2019.0,1375.8,245,1239.4,117.9,0.29,0.16,0.38,0.12
9321,82,other business support activities ,East Midlands,2012.0,268.9,185.5,184.8,33.2,0.12,0.17,0.15,0.07
9322,82,other business support activities ,East Midlands,2013.0,296.7,179.3,182.5,31.7,0.12,0.14,0.15,0.06
9323,82,other business support activities ,East Midlands,2014.0,292.6,98.4,275.9,29,0.12,0.09,0.2,0.05
9324,82,other business support activities ,East Midlands,2015.0,570,268.4,325.3,43.1,0.21,0.2,0.24,0.06
9325,82,other business support activities ,East Midlands,2016.0,330.3,233,126.7,83.7,0.18,0.21,0.16,0.15
9326,82,other business support activities ,East Midlands,2017.0,258.8,133.3,163.5,95.5,0.1,0.1,0.13,0.14
9327,82,other business support activities ,East Midlands,2018.0,241.2,218.8,142.4,67.3,0.09,0.15,0.1,0.09
9328,82,other business support activities ,East Midlands,2019.0,448.3,264.5,318.6,76,0.08,0.15,0.08,0.09
9329,82,other business support activities ,West Midlands,2012.0,621.9,61.4,616.4,30.2,0.18,0.05,0.29,0.06
9330,82,other business support activities ,West Midlands,2013.0,507.4,100.2,487.9,40.4,0.14,0.07,0.22,0.06
9331,82,other business support activities ,West Midlands,2014.0,409.6,245.6,221.4,87.3,0.11,0.11,0.15,0.11
9332,82,other business support activities ,West Midlands,2015.0,389.6,323.9,173.9,118.6,0.11,0.15,0.14,0.13
9333,82,other business support activities ,West Midlands,2016.0,253.1,269,183.5,52,0.07,0.14,0.11,0.06
9334,82,other business support activities ,West Midlands,2017.0,422.3,328.5,278.6,115.4,0.08,0.12,0.12,0.11
9335,82,other business support activities ,West Midlands,2018.0,423.7,137.7,326.8,104.8,0.11,0.08,0.14,0.12
9336,82,other business support activities ,West Midlands,2019.0,698.8,380.8,364.4,291.1,0.18,0.19,0.2,0.27
9337,82,other business support activities ,East of England,2012.0,315,135.7,240.7,106.8,0.12,0.11,0.17,0.16
9338,82,other business support activities ,East of England,2013.0,212.7,118.9,157.6,99.1,0.08,0.08,0.12,0.13
9339,82,other business support activities ,East of England,2014.0,333.2,165.9,265.2,56.7,0.11,0.1,0.18,0.08
9340,82,other business support activities ,East of England,2015.0,273.2,190.4,149.2,54.5,0.08,0.11,0.11,0.08
9341,82,other business support activities ,East of England,2016.0,355.7,307.7,111.9,77.9,0.08,0.13,0.08,0.09
9342,82,other business support activities ,East of England,2017.0,409.6,301.5,165.1,139.6,0.09,0.11,0.09,0.14
9343,82,other business support activities ,East of England,2018.0,507.5,288,265.9,129.6,0.11,0.12,0.13,0.11
9344,82,other business support activities ,East of England,2019.0,836.1,573.2,403,227.9,0.19,0.22,0.21,0.21
9345,82,other business support activities ,London,2012.0,978.8,708.6,604.4,286.8,0.08,0.1,0.11,0.07
9346,82,other business support activities ,London,2013.0,878.9,597.3,490.1,326.5,0.07,0.08,0.09,0.08
9347,82,other business support activities ,London,2014.0,1140,896.8,564.5,530.1,0.09,0.11,0.11,0.13
9348,82,other business support activities ,London,2015.0,1173.3,901,476.1,333.9,0.09,0.11,0.1,0.08
9349,82,other business support activities ,London,2016.0,1270.1,1089.1,429.2,761.2,0.08,0.1,0.08,0.14
9350,82,other business support activities ,London,2017.0,1602.1,622,1187.4,373.5,0.11,0.08,0.16,0.09
9351,82,other business support activities ,London,2018.0,1389.3,787.8,726.3,389.9,0.07,0.07,0.09,0.07
9352,82,other business support activities ,London,2019.0,958.8,714.2,389.3,479.2,0.05,0.07,0.05,0.08
9353,82,other business support activities ,South East,2012.0,426.2,266.4,293.7,117.5,0.07,0.08,0.1,0.08
9354,82,other business support activities ,South East,2013.0,511.9,565,454.2,113.3,0.08,0.16,0.15,0.08
9355,82,other business support activities ,South East,2014.0,572,352.8,340.8,176.8,0.09,0.09,0.12,0.1
9356,82,other business support activities ,South East,2015.0,457.8,415.7,193.1,147.5,0.08,0.11,0.09,0.1
9357,82,other business support activities ,South East,2016.0,785.8,445.4,449.5,303.5,0.1,0.11,0.13,0.14
9358,82,other business support activities ,South East,2017.0,1072.9,400.9,748.7,225.4,0.13,0.1,0.17,0.13
9359,82,other business support activities ,South East,2018.0,610.9,327.1,375.9,192.3,0.09,0.09,0.11,0.11
9360,82,other business support activities ,South East,2019.0,1749.2,586.4,1552.6,267.8,0.15,0.11,0.24,0.12
9361,82,other business support activities ,South West,2012.0,294.7,232.8,159,133.1,0.09,-0.23,0.14,0.17
9362,82,other business support activities ,South West,2013.0,168.9,111.8,110,50.2,0.08,0.09,0.13,0.08
9363,82,other business support activities ,South West,2014.0,421.7,406.9,117.6,114.4,0.15,0.44,0.13,0.16
9364,82,other business support activities ,South West,2015.0,151.9,118,94.2,81,0.08,0.1,0.14,0.13
9365,82,other business support activities ,South West,2016.0,260.4,243.7,82,62.7,0.13,0.18,0.12,0.1
9366,82,other business support activities ,South West,2017.0,408.6,245.6,306.4,58.5,0.17,0.2,0.25,0.1
9367,82,other business support activities ,South West,2018.0,1146.1,262.2,902.6,187.3,0.38,0.2,0.53,0.23
9368,82,other business support activities ,South West,2019.0,419.4,153.7,348.5,152.9,0.15,0.11,0.25,0.15
9369,82,other business support activities ,England,2012.0,1291.6,879.3,931.7,366.8,0.03,0.05,0.05,0.04
9370,82,other business support activities ,England,2013.0,1397,1006.1,890.7,423.6,0.04,0.05,0.05,0.04
9371,82,other business support activities ,England,2014.0,1247.5,992.4,716,510,0.03,0.04,0.04,0.05
9372,82,other business support activities ,England,2015.0,1353.7,1015.7,662.4,361.7,0.03,0.04,0.04,0.03
9373,82,other business support activities ,England,2016.0,1616.8,1257.5,762.9,783.9,0.03,0.05,0.04,0.06
9374,82,other business support activities ,England,2017.0,1851.1,885.6,1399.4,596.5,0.04,0.04,0.06,0.05
9375,82,other business support activities ,England,2018.0,1955.3,895.5,1312.4,467.8,0.04,0.03,0.05,0.03
9376,82,other business support activities ,England,2019.0,2457.2,1136.4,2022.4,606.3,0.04,0.04,0.06,0.04
9377,82,other business support activities ,Wales,2012.0,192.8,104,128,45.1,0.17,0.2,0.21,0.16
9378,82,other business support activities ,Wales,2013.0,246.9,100.4,210,48.6,0.22,0.21,0.33,0.16
9379,82,other business support activities ,Wales,2014.0,230.3,141.2,139.3,33.6,0.14,0.13,0.23,0.11
9380,82,other business support activities ,Wales,2015.0,167.6,117.2,110.4,38,0.18,0.19,0.33,0.14
9381,82,other business support activities ,Wales,2016.0,162.7,131.9,73.4,45.3,0.19,0.18,0.44,0.14
9382,82,other business support activities ,Wales,2017.0,127.1,98.7,73.8,49,0.1,0.13,0.16,0.1
9383,82,other business support activities ,Wales,2018.0,259.9,120,170.2,46.9,0.2,0.16,0.28,0.12
9384,82,other business support activities ,Wales,2019.0,1579.5,594,993.8,160.7,0.56,0.45,0.67,0.28
9385,82,other business support activities ,Scotland,2012.0,97.2,52.8,68.1,24.5,0.06,0.05,0.1,0.04
9386,82,other business support activities ,Scotland,2013.0,166.7,121.2,125.7,25.5,0.08,0.11,0.13,0.04
9387,82,other business support activities ,Scotland,2014.0,125.6,108.6,59.3,28.5,0.06,0.09,0.07,0.04
9388,82,other business support activities ,Scotland,2015.0,104.1,80,79.6,43.2,0.05,0.06,0.1,0.06
9389,82,other business support activities ,Scotland,2016.0,86,73.4,41.7,30.7,0.04,0.06,0.06,0.04
9390,82,other business support activities ,Scotland,2017.0,107.1,83.8,47.4,108.5,0.05,0.06,0.06,0.13
9391,82,other business support activities ,Scotland,2018.0,457,149.6,326.8,76.6,0.14,0.09,0.21,0.09
9392,82,other business support activities ,Scotland,2019.0,176.3,131.5,81.4,46.7,0.07,0.08,0.1,0.06
9393,82,other business support activities ,Northern Ireland,2012.0,59.9,32.1,33.6,12.5,0.13,0.13,0.16,0.09
9394,82,other business support activities ,Northern Ireland,2013.0,60.4,37.7,31.9,16.9,0.12,0.13,0.15,0.11
9395,82,other business support activities ,Northern Ireland,2014.0,46.5,29.7,21.5,13.4,0.1,0.1,0.11,0.08
9396,82,other business support activities ,Northern Ireland,2015.0,79,46,38.8,17.1,0.14,0.14,0.17,0.08
9397,82,other business support activities ,Northern Ireland,2016.0,37.3,22.5,26,9.4,0.07,0.08,0.11,0.05
9398,82,other business support activities ,Northern Ireland,2017.0,33.6,18.9,28.8,55.4,0.06,0.06,0.12,0.19
9399,82,other business support activities ,Northern Ireland,2018.0,53.2,19.5,40.6,7.8,0.09,0.06,0.17,0.03
9400,82,other business support activities ,Northern Ireland,2019.0,39.6,44.9,31.8,14.6,0.07,0.14,0.14,0.06
9401,82,other business support activities ,United Kingdom,2012.0,1320.6,892.7,950.2,368.5,0.03,0.05,0.05,0.03
9402,82,other business support activities ,United Kingdom,2013.0,1424.3,1032.2,887.3,425.9,0.03,0.05,0.04,0.04
9403,82,other business support activities ,United Kingdom,2014.0,1261.8,1010.6,719,512,0.03,0.04,0.04,0.04
9404,82,other business support activities ,United Kingdom,2015.0,1354.9,1011.3,675.8,357.8,0.03,0.04,0.04,0.03
9405,82,other business support activities ,United Kingdom,2016.0,1643.7,1276.5,771.9,788.5,0.03,0.04,0.04,0.05
9406,82,other business support activities ,United Kingdom,2017.0,1849.3,899.6,1400,605.3,0.03,0.03,0.05,0.04
9407,82,other business support activities ,United Kingdom,2018.0,1980.8,903.4,1328.6,473.8,0.03,0.03,0.04,0.03
9408,82,other business support activities ,United Kingdom,2019.0,2928,1336.7,2214.8,640.4,0.04,0.04,0.07,0.04
9409,P (Part) 2,Education ,North East,2012.0,128.7,104.6,31.2,70,0.14,0.31,0.05,0.07
9410,P (Part) 2,Education ,North East,2013.0,96.3,82.4,66.5,75.4,0.1,0.33,0.09,0.06
9411,P (Part) 2,Education ,North East,2014.0,101,85,61.4,56.6,0.1,0.21,0.09,0.05
9412,P (Part) 2,Education ,North East,2015.0,111.8,84.4,39.5,44.3,0.09,0.13,0.06,0.04
9413,P (Part) 2,Education ,North East,2016.0,105.7,67.3,53.4,41,0.07,0.1,0.07,0.03
9414,P (Part) 2,Education ,North East,2017.0,69.2,40.7,37.1,25.7,0.05,0.08,0.05,0.02
9415,P (Part) 2,Education ,North East,2018.0,101.2,52.6,57.5,34.9,0.07,0.09,0.07,0.03
9416,P (Part) 2,Education ,North East,2019.0,97.3,82,25.6,54.4,0.07,0.11,0.04,0.04
9417,P (Part) 2,Education ,North West,2012.0,141.3,127.4,43.6,83.4,0.05,0.14,0.03,0.03
9418,P (Part) 2,Education ,North West,2013.0,185.3,144.5,89.4,80.9,0.06,0.13,0.05,0.03
9419,P (Part) 2,Education ,North West,2014.0,148.1,134.1,44.2,71,0.05,0.08,0.03,0.02
9420,P (Part) 2,Education ,North West,2015.0,433.2,361.7,93.8,78.3,0.11,0.16,0.05,0.03
9421,P (Part) 2,Education ,North West,2016.0,424.4,300.1,265.8,74.6,0.1,0.12,0.13,0.02
9422,P (Part) 2,Education ,North West,2017.0,127.4,104.5,65.4,63,0.03,0.05,0.03,0.02
9423,P (Part) 2,Education ,North West,2018.0,191.4,123,91.3,59.5,0.05,0.05,0.05,0.02
9424,P (Part) 2,Education ,North West,2019.0,194.4,164.5,84.2,110.4,0.05,0.07,0.05,0.03
9425,P (Part) 2,Education ,Yorkshire and The Humber,2012.0,122.7,105.2,38.8,64.7,0.05,0.1,0.03,0.03
9426,P (Part) 2,Education ,Yorkshire and The Humber,2013.0,125.1,102.2,61.1,63.7,0.05,0.07,0.05,0.03
9427,P (Part) 2,Education ,Yorkshire and The Humber,2014.0,117,102.4,53.7,45.9,0.04,0.06,0.04,0.02
9428,P (Part) 2,Education ,Yorkshire and The Humber,2015.0,99.6,73.2,45.4,51.4,0.03,0.04,0.03,0.02
9429,P (Part) 2,Education ,Yorkshire and The Humber,2016.0,137.1,148.6,45.6,98,0.04,0.07,0.03,0.04
9430,P (Part) 2,Education ,Yorkshire and The Humber,2017.0,92.7,79,39.7,48.9,0.03,0.04,0.03,0.02
9431,P (Part) 2,Education ,Yorkshire and The Humber,2018.0,143.8,86.4,75.4,47.9,0.04,0.04,0.05,0.02
9432,P (Part) 2,Education ,Yorkshire and The Humber,2019.0,108.1,84.7,49.6,52.1,0.03,0.04,0.03,0.02
9433,P (Part) 2,Education ,East Midlands,2012.0,188.3,105.8,129.9,211.9,0.1,0.14,0.11,0.1
9434,P (Part) 2,Education ,East Midlands,2013.0,126.5,124.5,34.3,68.8,0.06,0.13,0.03,0.04
9435,P (Part) 2,Education ,East Midlands,2014.0,103.5,77.3,46.6,61.6,0.05,0.07,0.04,0.03
9436,P (Part) 2,Education ,East Midlands,2015.0,85.2,60.7,52,36.9,0.04,0.05,0.05,0.02
9437,P (Part) 2,Education ,East Midlands,2016.0,70.5,52.3,26.2,36.8,0.03,0.03,0.02,0.02
9438,P (Part) 2,Education ,East Midlands,2017.0,89,98.3,77.3,45.3,0.03,0.06,0.06,0.02
9439,P (Part) 2,Education ,East Midlands,2018.0,290,115.3,181.3,71,0.09,0.06,0.11,0.03
9440,P (Part) 2,Education ,East Midlands,2019.0,116.8,49.8,95.7,42,0.04,0.03,0.07,0.02
9441,P (Part) 2,Education ,West Midlands,2012.0,177,115.3,88.6,59.6,0.07,0.11,0.06,0.03
9442,P (Part) 2,Education ,West Midlands,2013.0,186.1,141.3,140.7,35.7,0.07,0.12,0.09,0.02
9443,P (Part) 2,Education ,West Midlands,2014.0,97.8,78.7,38,59.8,0.04,0.06,0.03,0.03
9444,P (Part) 2,Education ,West Midlands,2015.0,125.4,103.8,62.8,68.7,0.04,0.06,0.04,0.03
9445,P (Part) 2,Education ,West Midlands,2016.0,91.5,72.5,54.4,38.8,0.03,0.04,0.04,0.02
9446,P (Part) 2,Education ,West Midlands,2017.0,252.8,74.7,205.2,36.8,0.06,0.03,0.11,0.01
9447,P (Part) 2,Education ,West Midlands,2018.0,104.3,82,40.7,43.4,0.03,0.04,0.03,0.02
9448,P (Part) 2,Education ,West Midlands,2019.0,145.7,98.4,77.2,45.9,0.04,0.05,0.05,0.01
9449,P (Part) 2,Education ,East of England,2012.0,247.7,170.5,150.2,132.9,0.08,0.15,0.08,0.05
9450,P (Part) 2,Education ,East of England,2013.0,278.6,146.7,189.8,122.1,0.09,0.13,0.1,0.05
9451,P (Part) 2,Education ,East of England,2014.0,343.4,176.3,242.6,142.9,0.1,0.13,0.11,0.05
9452,P (Part) 2,Education ,East of England,2015.0,185.4,142.3,79.6,139.4,0.06,0.09,0.05,0.06
9453,P (Part) 2,Education ,East of England,2016.0,125.8,105.4,42.4,62.4,0.04,0.06,0.03,0.02
9454,P (Part) 2,Education ,East of England,2017.0,223.4,159.8,127.5,75.6,0.06,0.08,0.07,0.03
9455,P (Part) 2,Education ,East of England,2018.0,152.3,118.6,59.5,91.4,0.04,0.06,0.03,0.03
9456,P (Part) 2,Education ,East of England,2019.0,256.4,189.4,102.6,110.8,0.06,0.08,0.05,0.03
9457,P (Part) 2,Education ,London,2012.0,326.8,272.2,126,120.1,0.04,0.08,0.03,0.02
9458,P (Part) 2,Education ,London,2013.0,248.2,246.6,158.4,123.7,0.03,0.07,0.04,0.02
9459,P (Part) 2,Education ,London,2014.0,451.2,316.7,224.6,210.5,0.05,0.07,0.05,0.03
9460,P (Part) 2,Education ,London,2015.0,455.8,344.5,211.5,245.8,0.05,0.07,0.05,0.04
9461,P (Part) 2,Education ,London,2016.0,321.1,234.7,160.4,144.7,0.03,0.05,0.04,0.02
9462,P (Part) 2,Education ,London,2017.0,246.7,179.9,123.6,140.6,0.03,0.04,0.03,0.02
9463,P (Part) 2,Education ,London,2018.0,475.7,281.4,301.8,136.9,0.05,0.05,0.06,0.02
9464,P (Part) 2,Education ,London,2019.0,627.6,335.3,343.5,155.8,0.06,0.06,0.08,0.02
9465,P (Part) 2,Education ,South East,2012.0,335.3,293,214,147.5,0.06,0.12,0.07,0.03
9466,P (Part) 2,Education ,South East,2013.0,317,172.7,257.8,115.7,0.05,0.07,0.08,0.02
9467,P (Part) 2,Education ,South East,2014.0,314.8,217.5,147.2,173.6,0.05,0.08,0.05,0.03
9468,P (Part) 2,Education ,South East,2015.0,370,281,164.5,162.8,0.05,0.08,0.05,0.03
9469,P (Part) 2,Education ,South East,2016.0,219.6,172.9,115.1,118.2,0.03,0.05,0.03,0.02
9470,P (Part) 2,Education ,South East,2017.0,330.1,228.2,157.2,142.9,0.04,0.06,0.04,0.02
9471,P (Part) 2,Education ,South East,2018.0,259.4,165.4,136.1,115.1,0.03,0.04,0.04,0.02
9472,P (Part) 2,Education ,South East,2019.0,320.3,225.2,174.9,157.7,0.04,0.06,0.05,0.02
9473,P (Part) 2,Education ,South West,2012.0,131.5,101.4,68.5,61.1,0.05,0.08,0.05,0.03
9474,P (Part) 2,Education ,South West,2013.0,138.3,102.3,57.4,61.8,0.05,0.06,0.04,0.03
9475,P (Part) 2,Education ,South West,2014.0,175.3,145.5,60.6,49.1,0.05,0.07,0.04,0.02
9476,P (Part) 2,Education ,South West,2015.0,141.6,102.4,73.6,47.2,0.04,0.05,0.05,0.02
9477,P (Part) 2,Education ,South West,2016.0,76.5,54.6,48.3,38,0.02,0.03,0.03,0.01
9478,P (Part) 2,Education ,South West,2017.0,102.7,63.3,66.6,42.9,0.03,0.03,0.04,0.02
9479,P (Part) 2,Education ,South West,2018.0,98.6,79.7,38.5,36.7,0.03,0.04,0.03,0.01
9480,P (Part) 2,Education ,South West,2019.0,106.6,98.9,35.5,53.7,0.03,0.04,0.02,0.02
9481,P (Part) 2,Education ,England,2012.0,662.7,571.1,324.1,281.7,0.02,0.05,0.02,0.01
9482,P (Part) 2,Education ,England,2013.0,566,414,388.6,186.5,0.02,0.03,0.02,0.01
9483,P (Part) 2,Education ,England,2014.0,572.5,432.6,329,212.7,0.02,0.03,0.02,0.01
9484,P (Part) 2,Education ,England,2015.0,692,574.7,277.5,210.4,0.02,0.03,0.02,0.01
9485,P (Part) 2,Education ,England,2016.0,593,476.1,343.9,219,0.02,0.02,0.02,0.01
9486,P (Part) 2,Education ,England,2017.0,513.8,358.3,324.1,182.9,0.01,0.02,0.02,0.01
9487,P (Part) 2,Education ,England,2018.0,664.2,403.3,401.1,212.4,0.02,0.02,0.02,0.01
9488,P (Part) 2,Education ,England,2019.0,772.8,493.6,412.2,226.5,0.02,0.02,0.02,0.01
9489,P (Part) 2,Education ,Wales,2012.0,175.9,82.1,121.8,35.9,0.17,0.18,0.2,0.04
9490,P (Part) 2,Education ,Wales,2013.0,59.8,77.2,25,32,0.07,0.22,0.05,0.03
9491,P (Part) 2,Education ,Wales,2014.0,89.1,71.2,48.2,35.8,0.08,0.12,0.08,0.04
9492,P (Part) 2,Education ,Wales,2015.0,346.5,136.6,215.4,74.3,0.21,0.18,0.23,0.06
9493,P (Part) 2,Education ,Wales,2016.0,149.8,56.2,130.8,36.7,0.1,0.09,0.15,0.03
9494,P (Part) 2,Education ,Wales,2017.0,78.5,70.1,19,35.9,0.05,0.1,0.02,0.02
9495,P (Part) 2,Education ,Wales,2018.0,62.2,50.1,35,31.5,0.04,0.08,0.04,0.02
9496,P (Part) 2,Education ,Wales,2019.0,86.4,96.1,22.5,43.5,0.06,0.15,0.03,0.03
9497,P (Part) 2,Education ,Scotland,2012.0,69.6,52.8,38.2,26.5,0.03,0.06,0.03,0.01
9498,P (Part) 2,Education ,Scotland,2013.0,111.1,95.7,40.5,50.6,0.05,0.1,0.03,0.02
9499,P (Part) 2,Education ,Scotland,2014.0,117.7,87.5,39.5,57.6,0.05,0.09,0.03,0.03
9500,P (Part) 2,Education ,Scotland,2015.0,103,84.4,44.9,51.9,0.04,0.08,0.03,0.02
9501,P (Part) 2,Education ,Scotland,2016.0,49.2,50,32.6,19.6,0.02,0.05,0.02,0.01
9502,P (Part) 2,Education ,Scotland,2017.0,49,42,28.6,22.3,0.02,0.04,0.02,0.01
9503,P (Part) 2,Education ,Scotland,2018.0,55.5,46.6,28.3,15.2,0.02,0.03,0.02,0.01
9504,P (Part) 2,Education ,Scotland,2019.0,75.9,61.1,41.3,23.9,0.03,0.04,0.03,0.01
9505,P (Part) 2,Education ,Northern Ireland,2012.0,39.7,50.6,41.9,73.8,0.17,0.85,0.24,0.22
9506,P (Part) 2,Education ,Northern Ireland,2013.0,9.5,8.6,5.7,8,0.04,0.22,0.03,0.02
9507,P (Part) 2,Education ,Northern Ireland,2014.0,8.2,8,4.5,3.5,0.04,0.19,0.03,0.01
9508,P (Part) 2,Education ,Northern Ireland,2015.0,9.8,9.1,6,6.1,0.04,0.13,0.03,0.02
9509,P (Part) 2,Education ,Northern Ireland,2016.0,12.7,10.3,7.3,8.9,0.06,0.48,0.04,0.02
9510,P (Part) 2,Education ,Northern Ireland,2017.0,15.3,13,8.2,8.8,0.07,0.33,0.04,0.02
9511,P (Part) 2,Education ,Northern Ireland,2018.0,13.1,10.3,6.9,11.7,0.06,0.28,0.04,0.03
9512,P (Part) 2,Education ,Northern Ireland,2019.0,28.5,22,11.3,20.6,0.1,0.52,0.05,0.05
9513,P (Part) 2,Education ,United Kingdom,2012.0,708.1,582.6,356.9,295.7,0.02,0.04,0.02,0.01
9514,P (Part) 2,Education ,United Kingdom,2013.0,574.3,421.7,394.2,198,0.02,0.03,0.02,0.01
9515,P (Part) 2,Education ,United Kingdom,2014.0,580.8,443.6,332.4,224.2,0.02,0.02,0.02,0.01
9516,P (Part) 2,Education ,United Kingdom,2015.0,818.1,611,359.3,230.1,0.02,0.03,0.02,0.01
9517,P (Part) 2,Education ,United Kingdom,2016.0,660.9,488.4,436.7,229.9,0.02,0.02,0.02,0.01
9518,P (Part) 2,Education ,United Kingdom,2017.0,530.1,375,327.1,192.2,0.01,0.02,0.02,0.01
9519,P (Part) 2,Education ,United Kingdom,2018.0,680.2,416.2,410.1,213.8,0.01,0.02,0.02,0.01
9520,P (Part) 2,Education ,United Kingdom,2019.0,783.6,511.2,416.3,234.7,0.02,0.02,0.02,0.01
9521,Q (Part) 2,Human health and social work activities ,North East,2012.0,88,78.8,30.5,62.2,0.09,0.11,0.11,0.08
9522,Q (Part) 2,Human health and social work activities ,North East,2013.0,194.2,137.1,84.3,46.5,0.14,0.15,0.18,0.05
9523,Q (Part) 2,Human health and social work activities ,North East,2014.0,117,76.9,64.3,53.8,0.08,0.07,0.14,0.05
9524,Q (Part) 2,Human health and social work activities ,North East,2015.0,145.3,145.3,30.4,57.5,0.09,0.13,0.08,0.06
9525,Q (Part) 2,Human health and social work activities ,North East,2016.0,73.7,64.9,26.9,50.3,0.05,0.06,0.07,0.05
9526,Q (Part) 2,Human health and social work activities ,North East,2017.0,126.9,75.2,62.9,46.7,0.07,0.06,0.1,0.04
9527,Q (Part) 2,Human health and social work activities ,North East,2018.0,204.9,99,117.7,45.7,0.11,0.08,0.19,0.04
9528,Q (Part) 2,Human health and social work activities ,North East,2019.0,96.3,105.3,79.5,60.9,0.06,0.1,0.13,0.05
9529,Q (Part) 2,Human health and social work activities ,North West,2012.0,184.3,143.3,88,78.7,0.05,0.06,0.07,0.03
9530,Q (Part) 2,Human health and social work activities ,North West,2013.0,279.2,253.1,105.6,198.3,0.07,0.09,0.08,0.07
9531,Q (Part) 2,Human health and social work activities ,North West,2014.0,271.5,216.6,117.5,122.8,0.06,0.07,0.09,0.04
9532,Q (Part) 2,Human health and social work activities ,North West,2015.0,210.2,178.5,96.1,78,0.05,0.06,0.07,0.03
9533,Q (Part) 2,Human health and social work activities ,North West,2016.0,178.9,146.4,77.4,77.8,0.04,0.05,0.05,0.03
9534,Q (Part) 2,Human health and social work activities ,North West,2017.0,152.6,146.6,44.8,68.9,0.03,0.04,0.03,0.02
9535,Q (Part) 2,Human health and social work activities ,North West,2018.0,147.4,210,185.2,87.7,0.03,0.06,0.1,0.03
9536,Q (Part) 2,Human health and social work activities ,North West,2019.0,274.4,189.5,162,98.6,0.04,0.04,0.09,0.03
9537,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2012.0,104.9,103.1,57.6,45.9,0.04,0.07,0.06,0.03
9538,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2013.0,178.2,159.3,60.2,69.7,0.06,0.07,0.06,0.04
9539,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2014.0,197.4,120.8,136.4,51.4,0.06,0.05,0.14,0.03
9540,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2015.0,102.5,100.1,38.5,41.9,0.03,0.04,0.05,0.02
9541,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2016.0,107.2,103.4,32.3,44.2,0.03,0.04,0.03,0.02
9542,Q (Part) 2,Human health and social work activities ,Yorkshire and The Humber,2017.0,130.5,112.2,49.6,105.4,0.04,0.04,0.04,0.05
